Case_Id,liver,kidney_right,spleen,pancreas,aorta,postcava,adrenal_gland_right,adrenal_gland_left,gall_bladder,stomach,duodenum,kidney_left
FELIX-PDAC-1014_VENOUS,0.5752199361153254,0.9392349841484425,0.49788000049375536,0.06656087571337205,0.7802669453575832,0.8724378312496478,0.42849294347795425,0.33152100801725226,0.8416924957245087,0.6975719281760497,0.7481705532793074,0.9349193554506953
FELIX-PDAC-1053_VENOUS,0.9625703991756662,0.9187332973942217,0.9629776379999021,0.8302227467261504,0.6969839112180566,0.783199774046892,0.2668222956906265,0.4629712465786977,0.8870721297722851,0.8783815190554166,0.7369024848156043,0.9267695827933253
FELIX-PDAC-1057_VENOUS,0.946199282200308,0.9190029491108563,0.9548968326015926,0.8674201532577528,0.5890431317855629,0.751396570551724,0.20360429956796847,0.3021400709570332,0.8636397034372542,0.8253119785063417,0.64733001352321,0.9269284387747359
FELIX-PDAC-1059_VENOUS,0.935110194158385,0.9344929883116178,0.9539961468420589,0.6967313259948302,0.6510263305716567,0.7078360798860376,0.0829259224372983,0.38878091263110093,0.8905537947314498,0.9202536172868031,0.7804005329097535,0.9353493858038938
FELIX-PDAC-1165_VENOUS,0.9657673985961948,0.954728299855943,0.9580267877035398,0.8929390930599644,0.6391024711890594,0.8012634389750785,0.33319792321481706,0.3932768362426391,0.9100247409038084,0.9221152976239356,0.5822788738835041,0.9554335149342076
FELIX-PDAC-1169_VENOUS,0.969482082613641,0.9246973421950582,0.9428433120818551,0.7189667360300798,0.649363057454687,0.8544013664159856,0.3709357108014081,0.5065312439293965,0.8702237205109047,0.939427782973488,0.7142572435218757,0.9366928158024597
FELIX-PDAC-1175_VENOUS,0.9659880212863335,0.9056802784987121,0.9668942065076372,0.7954753352983812,0.6487825595421216,0.8154321570201944,0.3642516997504008,0.42948224052527567,0.349290083922924,0.9402404703903434,0.7695635544547696,0.9037669632643167
FELIX0491_VENOUS,0.9567236146724732,0.8596274959290743,0.9481596984060874,0.8647605847398326,0.6795719514330387,0.8501517704753013,0.2545518755874518,0.2317428965938667,0.8678176657194817,0.8849108165782491,0.534476386043417,0.926729558413104
FELIX0498_VENOUS,0.9512413488990501,0.9388253077365848,0.9368770497331587,0.8438575458120525,0.7144505542390845,0.8372831696536432,0.29072956893701535,0.21699041795622867,0.9088980636147866,0.8735309115443859,0.6006726019119777,0.9448181708777418
FELIX0509_VENOUS,0.9674187723607816,0.9251294226570662,0.9505031177336491,0.8962310363137328,0.7527544038214528,0.8638456899617759,0.2387489641883505,0.34948681473434634,0.8748500036397526,0.9526620712472192,0.7146789938904655,0.9113868300703813
FELIX0512_VENOUS,0.9662443145513337,0.9326309368749681,0.9666208573546488,0.8921228553061142,0.6599276486792388,0.8531814980654506,0.1870526019800319,0.39429087843074656,0.849891622889091,0.9422235707196848,0.740002036634873,0.9248225312480578
FELIX0543_VENOUS,0.9602014071729896,0.9261545945221562,0.959430706676503,0.8669776145505672,0.7519921853451822,0.856903879320376,0.46181702522619883,0.5590642857367769,0.937068303940011,0.951962621571951,0.8259004412283032,0.9324633778360927
FELIX0564_VENOUS,0.9683808054230452,0.9153655359557797,0.9506857363904107,0.8319600118606214,0.713233280108332,0.7209894680028217,0.2874117851839623,0.4201064970960504,0.9144779086289694,0.9380371689793369,0.7823310129619278,0.9082829658433614
FELIX0565_VENOUS,0.9594623034785126,0.9226132547414665,0.9179373480681368,0.8435959384010566,0.6122338078425607,0.6317811695176191,0.3123873077164008,0.3691213694941075,0.9140042960556146,0.9553881113936445,0.5475090142564921,0.9060266365668925
FELIX0570_VENOUS,0.9563157457488275,0.9403294003582137,0.935362001120936,0.8331453945454412,0.725382748022978,0.8330736913274177,0.1376642784152098,0.2059349667204744,0.8706689580245368,0.9501777849973524,0.6500002779321304,0.9058451164857364
FELIX0572_VENOUS,0.9513900407602632,0.9376368324811203,0.94378940661694,0.8362032830608398,0.6657366411091318,0.8308188316182005,0.21502347648173864,0.21361940543028793,8.538251293218483e-09,0.9420156761564216,0.5441116624107396,0.9114487882663079
FELIX0604_VENOUS,0.9510119564221483,0.8966249435676781,0.9343470407918388,0.8694445226174485,0.543825056563994,0.7526142839830676,0.3157080947739788,0.26173154615306354,0.8876369774357706,0.9604458046102222,0.7735686250547243,0.882439329225505
FELIX0621_VENOUS,0.9671954555542459,0.8967914864379695,0.9321158764767983,0.8408631552885999,0.6362134811742346,0.7052550631790152,0.3611165100669758,0.4166108097398231,8.333263889467588e-06,0.9428486943790368,0.6936783927889488,0.8741431173538171
FELIX0636_VENOUS,0.9568701303620292,0.89709845249099,0.9326860629993213,0.8347905201075677,0.7705227894143395,0.677664285014163,0.43488650247156235,0.13214931200005361,0.8239993710592126,0.9437538052769042,0.2425785127543903,0.8776061475305761
FELIX0650_VENOUS,0.9607537811227186,0.905496998938338,0.9265992704412794,0.8747494381563741,0.7297944508606038,0.732553165974804,0.32774560772186934,0.5628926623827193,0.7786635520721628,0.911915425506299,0.604348229661556,0.8978091429501396
FELIX0651_VENOUS,0.9736887135487234,0.9051225689395356,0.9283901011415259,0.8865522525269991,0.7901573167502358,0.786165308713156,0.2020993460795573,0.3374544789272835,0.8507851118275155,0.9470719202273139,0.557020353698984,0.9105138301813732
FELIX068_VENOUS,0.9589896292617841,0.9199731425955243,0.9303936722374349,0.47382274065079283,0.7638065387601932,0.8490849062001599,0.40912883202759603,6.089392241569892e-09,0.7644707489493713,0.9225211907416556,0.2895065622579103,0.9111543121016659
FELIX071_VENOUS,0.95996981619979,0.9455371740474529,0.9451942502876794,0.8922328572639319,0.6491198700734117,0.7531813620276002,0.2606136701569904,0.12866582383991262,0.8387273370174914,0.9493235910151296,0.5866476692224073,0.9265443803377631
FELIX083_VENOUS,0.9673302449079004,0.942416100685341,0.9374059558891259,0.8861020460027842,0.7199351056417365,0.8791713895096401,0.1930839256140088,0.21061340030291895,0.8490433872224434,0.9511519937603027,0.5943200457654606,0.926102967086127
FELIX085_VENOUS,0.9637175058582258,0.9415333225367077,0.9649540632750806,0.8369080614811059,0.6456525652550836,0.7302772584761661,0.3146000899416127,0.30094201920819774,0.8719111443370208,0.9317486087700962,0.651170093391602,0.9117699221083598
FELIX1003_VENOUS,0.9735382775998369,0.9424573532858511,0.948050518638247,0.8368383912453131,0.6686678005148666,0.7388630682073302,0.3502940666764078,0.3899818690163603,0.8843843938010665,0.9426035467353552,0.6516961415218057,0.9356732140673041
FELIX1023_VENOUS,0.970517998378069,0.9339097744424609,0.947989488725877,0.8262909284647035,0.7542873046389815,0.8696510488916794,0.27966529871000034,0.37432513747520435,0.6274391029607773,0.938529186483301,0.5343021967201744,0.9306149746193679
